year,flow_kcfs
1970,226.7
1971,360.7
1972,388.9
1973,148.1
1974,339.7
1975,270.1
1976,286.7
1977,128.3
1978,235.7
1979,199.6
1980,216.7
1981,234.2
1982,335
1983,312.5
1984,301.3
1985,211.8
1986,272.7
1987,172
1988,160.6
1989,209.5
1990,237.5
1991,252.4
1992,174
1993,210.2
1994,173.7
1995,231.4
1996,347.2
1997,392.8
1998,253.3
1999,293.6
2000,239.9
2001,132
2002,230.5
2003,224.8
2004,204.3
2005,178.7
2006,283.9
2007,234.1
2008,249.2
2009,232.3
2010,194.6
2011,346.6
2012,314.6
2013,228.2
2014,273.4
2015,183
2016,238
2017,383.9
2018,300.4
2019,231.7
2020,232.7
