year,pdo
1970,-0.4
1971,-1.32
1972,-1.14
1973,-1.14
1974,-0.3
1975,-1.41
1976,-0.15
1977,0.05
1978,0.07
1979,0.11
1980,0.31
1981,0.84
1982,-0.26
1983,1.25
1984,0.6
1985,0.03
1986,1.01
1987,1.14
1988,-0.04
1989,-0.5
1990,-0.83
1991,-0.88
1992,0.76
1993,1.04
1994,-0.49
1995,0.44
1996,0.68
1997,1.32
1998,-0.48
1999,-1.84
2000,-1.13
2001,-1.13
2002,-0.44
2003,0.38
2004,-0.22
2005,-0.19
2006,-0.35
2007,-0.7
2008,-1.66
2009,-1.03
2010,-1.06
2011,-1.81
2012,-1.73
2013,-1.17
2014,0.55
2015,0.92
2016,0.67
2017,-0.09
2018,-0.36
2019,-0.15
2020,-1.14
