year,mo,da,tempc
1949,1,1,3.05555555555556
1949,1,2,3.05555555555556
1949,1,3,3.05555555555556
1949,1,4,3.33333333333333
1949,1,5,1.66666666666667
1949,1,6,3.33333333333333
1949,1,7,3.33333333333333
1949,1,8,3.33333333333333
1949,1,9,3.33333333333333
1949,1,10,3.33333333333333
1949,1,11,3.05555555555556
1949,1,12,2.77777777777778
1949,1,13,2.77777777777778
1949,1,14,2.77777777777778
1949,1,15,2.77777777777778
1949,1,16,2.77777777777778
1949,1,17,2.77777777777778
1949,1,18,2.77777777777778
1949,1,19,2.77777777777778
1949,1,20,2.77777777777778
1949,1,21,2.77777777777778
1949,1,22,0.277777777777778
1949,1,23,0.277777777777778
1949,1,24,0.277777777777778
1949,1,25,0.277777777777778
1949,1,26,0.277777777777778
1949,1,27,0.277777777777778
1949,1,28,0.277777777777778
1949,1,29,0.277777777777778
1949,1,30,0.277777777777778
1949,1,31,0.277777777777778
1949,2,9,0.499999999999999
1949,2,10,1.66666666666667
1949,2,15,1.11111111111111
1949,2,16,1.11111111111111
1949,2,17,1.38888888888889
1949,2,18,1.11111111111111
1949,2,19,1.66666666666667
1949,2,20,1.66666666666667
1949,2,21,1.66666666666667
1949,2,22,1.11111111111111
1949,2,23,1.11111111111111
1949,2,24,1.11111111111111
1949,2,25,2.22222222222222
1949,2,26,3.33333333333333
1949,2,27,3.33333333333333
1949,2,28,3.88888888888889
1949,3,1,4.44444444444444
1949,3,2,4.44444444444444
1949,3,3,5
1949,3,4,5
1949,3,5,5
1949,3,6,5.27777777777778
1949,3,7,5.55555555555556
1949,3,8,6.11111111111111
1949,3,9,6.11111111111111
1949,3,10,6.66666666666667
1949,3,11,6.11111111111111
1949,3,12,6.11111111111111
1949,3,13,6.11111111111111
1949,3,14,6.11111111111111
1949,3,15,6.11111111111111
1949,3,16,6.66666666666667
1949,3,17,6.66666666666667
1949,3,18,6.66666666666667
1949,3,19,6.66666666666667
1949,3,20,7.22222222222222
1949,3,21,7.22222222222222
1949,3,22,7.5
1949,3,23,7.5
1949,3,24,7.77777777777778
1949,3,25,7.77777777777778
1949,3,26,7.77777777777778
1949,3,27,7.77777777777778
1949,3,28,7.77777777777778
1949,3,29,7.77777777777778
1949,3,30,7.22222222222222
1949,3,31,7.22222222222222
1949,4,1,7.22222222222222
1949,4,2,7.22222222222222
1949,4,3,7.77777777777778
1949,4,4,7.77777777777778
1949,4,5,7.77777777777778
1949,4,6,8.61111111111111
1949,4,7,9.44444444444444
1949,4,8,9.44444444444444
1949,4,9,10
1949,4,10,10.2777777777778
1949,4,11,10.5555555555556
1949,4,12,10.5555555555556
1949,4,13,10.5555555555556
1949,4,14,10.5555555555556
1949,4,15,10.5555555555556
1949,4,16,10.5555555555556
1949,4,17,10.5555555555556
1949,4,18,10.5555555555556
1949,4,19,10.5555555555556
1949,4,20,10.5555555555556
1949,4,21,10.5555555555556
1949,4,22,10
1949,4,23,10
1949,4,24,10.2777777777778
1949,4,25,9.72222222222222
1949,4,26,9.72222222222222
1949,4,27,9.72222222222222
1949,4,28,10
1949,4,29,10
1949,4,30,10
1949,6,1,12.2222222222222
1949,6,2,12.2222222222222
1949,6,3,12.2222222222222
1949,6,4,12.2222222222222
1949,6,5,12.2222222222222
1949,6,6,12.2222222222222
1949,6,7,12.2222222222222
1949,6,8,10
1949,6,9,12.2222222222222
1949,6,10,12.2222222222222
1949,6,11,12.2222222222222
1949,6,12,13.3333333333333
1949,6,13,12.7777777777778
1949,6,14,13.3333333333333
1949,6,15,13.3333333333333
1949,6,16,13.3333333333333
1949,6,17,13.3333333333333
1949,6,18,13.3333333333333
1949,6,19,13.3333333333333
1949,6,20,13.3333333333333
1949,6,21,13.8888888888889
1949,6,22,13.3333333333333
1949,6,23,13.8888888888889
1949,6,24,13.8888888888889
1949,6,25,13.8888888888889
1949,6,26,13.8888888888889
1949,6,27,14.1666666666667
1949,6,28,13.8888888888889
1949,6,29,13.8888888888889
1949,6,30,13.8888888888889
1949,9,1,19.4444444444444
1949,9,2,19.7222222222222
1949,9,3,20
1949,9,4,20.2777777777778
1949,9,5,20.2777777777778
1949,9,6,20.5555555555556
1949,9,7,21.1111111111111
1949,9,8,21.1111111111111
1949,9,9,21.1111111111111
1949,9,10,21.1111111111111
1949,9,11,20.5555555555556
1949,9,12,20.5555555555556
1949,9,13,20.5555555555556
1949,9,14,18.8888888888889
1949,9,15,18.8888888888889
1949,9,16,18.3333333333333
1949,9,17,17.7777777777778
1949,9,18,17.7777777777778
1949,9,19,17.7777777777778
1949,9,20,16.6666666666667
1949,9,21,16.6666666666667
1949,9,22,16.1111111111111
1949,9,23,16.1111111111111
1949,9,24,16.6666666666667
1949,9,25,16.6666666666667
1949,9,26,16.6666666666667
1949,9,27,16.6666666666667
1949,9,28,16.1111111111111
1949,9,29,17.2222222222222
1949,9,30,17.2222222222222
1949,10,1,16.6666666666667
1949,10,2,16.6666666666667
1949,10,3,16.6666666666667
1949,10,4,16.9444444444444
1949,10,5,16.3888888888889
1949,10,6,15.8333333333333
1949,10,7,15.5555555555556
1949,10,8,15
1949,10,9,14.4444444444444
1949,10,10,14.4444444444444
1949,10,11,13.3333333333333
1949,10,12,13.3333333333333
1949,10,13,11.1111111111111
1949,10,14,11.1111111111111
1949,10,15,12.2222222222222
1949,10,16,11.1111111111111
1949,10,17,11.1111111111111
1949,10,18,11.1111111111111
1949,10,19,9.44444444444444
1949,10,20,9.44444444444444
1949,10,21,9.44444444444444
1949,10,22,10
1949,10,23,9.44444444444444
1949,10,24,9.44444444444444
1949,10,25,9.44444444444444
1949,10,26,10
1949,10,27,10.5555555555556
1949,10,28,11.1111111111111
1949,10,29,11.1111111111111
1949,10,30,11.1111111111111
1949,10,31,10.5555555555556
1949,11,1,10.5555555555556
1949,11,2,10.5555555555556
1949,11,3,10.5555555555556
1949,11,4,10.5555555555556
1949,11,5,11.1111111111111
1949,11,6,11.1111111111111
1949,11,7,11.1111111111111
1949,11,8,11.1111111111111
1949,11,9,10
1949,11,10,9.44444444444444
1949,11,11,10.5555555555556
1949,11,12,10.5555555555556
1949,11,13,9.44444444444444
1949,11,14,9.44444444444444
1949,11,15,8.88888888888889
1949,11,16,9.44444444444444
1949,11,17,9.44444444444444
1949,11,18,8.88888888888889
1949,11,19,8.88888888888889
1949,11,20,7.77777777777778
1949,11,21,8.33333333333333
1949,11,22,8.33333333333333
1949,11,23,8.33333333333333
1949,11,24,9.72222222222222
1949,11,25,9.72222222222222
1949,11,26,9.44444444444444
1949,11,27,10
1949,11,28,8.88888888888889
1949,11,29,8.88888888888889
1949,11,30,10
1949,12,2,8.88888888888889
1949,12,3,9.44444444444444
1949,12,4,7.22222222222222
1949,12,5,6.66666666666667
1949,12,6,7.22222222222222
1949,12,7,7.22222222222222
1949,12,8,6.11111111111111
1949,12,9,6.66666666666667
1949,12,10,6.66666666666667
1949,12,11,5.55555555555556
1949,12,12,5
1949,12,13,5.55555555555556
1949,12,14,5.55555555555556
1949,12,15,5.55555555555556
1949,12,16,5
1949,12,17,4.44444444444444
1949,12,18,4.44444444444444
1949,12,19,4.44444444444444
1949,12,20,3.88888888888889
1949,12,21,3.88888888888889
1949,12,22,3.88888888888889
1949,12,23,5.55555555555556
1949,12,24,5.55555555555556
1949,12,25,5
1949,12,26,4.44444444444444
1949,12,27,4.44444444444444
1949,12,28,5
1949,12,29,5
1949,12,30,4.44444444444444
1949,12,31,5
1950,1,1,4.44444444444444
1950,1,2,4.44444444444444
1950,1,3,3.88888888888889
1950,1,4,3.88888888888889
1950,1,5,3.33333333333333
1950,1,6,3.33333333333333
1950,1,7,2.77777777777778
1950,1,8,2.22222222222222
1950,1,9,1.66666666666667
1950,1,10,1.66666666666667
1950,1,11,1.66666666666667
1950,1,12,1.66666666666667
1950,1,13,1.66666666666667
1950,1,14,1.11111111111111
1950,1,15,1.11111111111111
1950,1,16,1.11111111111111
1950,1,21,0.555555555555556
1950,1,22,0.555555555555556
1950,1,23,0.555555555555556
1950,1,24,0.555555555555556
1950,1,27,0.277777777777778
1950,2,6,0.555555555555556
1950,2,7,0.555555555555556
1950,2,8,0.277777777777778
1950,2,9,0.277777777777778
1950,2,10,0.555555555555556
1950,2,11,0.555555555555556
1950,2,12,0.555555555555556
1950,2,14,0.277777777777778
1950,2,15,0.555555555555556
1950,2,16,0.555555555555556
1950,2,17,0.555555555555556
1950,2,18,0.555555555555556
1950,2,19,0.555555555555556
1950,2,20,2.22222222222222
1950,2,21,2.22222222222222
1950,2,22,2.77777777777778
1950,2,23,3.88888888888889
1950,2,24,4.44444444444444
1950,2,25,4.44444444444444
1950,2,26,4.44444444444444
1950,2,27,5
1950,2,28,5
1950,3,1,5.27777777777778
1950,3,2,4.44444444444444
1950,3,3,5
1950,3,4,5
1950,3,5,5
1950,3,6,5.55555555555556
1950,3,7,5.55555555555556
1950,3,8,5.55555555555556
1950,3,9,5.55555555555556
1950,3,10,5.55555555555556
1950,3,11,5
1950,3,12,5
1950,3,13,5.27777777777778
1950,3,14,5.55555555555556
1950,3,15,6.66666666666667
1950,3,16,5.55555555555556
1950,3,17,6.11111111111111
1950,3,18,6.11111111111111
1950,3,19,5.55555555555556
1950,3,20,6.11111111111111
1950,3,21,6.11111111111111
1950,3,22,6.11111111111111
1950,3,23,6.11111111111111
1950,3,24,6.11111111111111
1950,3,25,6.11111111111111
1950,3,26,6.11111111111111
1950,3,27,6.66666666666667
1950,3,28,6.66666666666667
1950,3,29,6.11111111111111
1950,3,30,6.66666666666667
1950,3,31,6.66666666666667
1950,4,1,6.66666666666667
1950,4,2,7.22222222222222
1950,4,3,7.22222222222222
1950,4,4,7.22222222222222
1950,4,5,7.77777777777778
1950,4,6,7.77777777777778
1950,4,7,7.77777777777778
1950,4,8,7.77777777777778
1950,4,9,7.77777777777778
1950,4,10,8.33333333333333
1950,4,11,8.33333333333333
1950,4,12,8.33333333333333
1950,4,13,8.33333333333333
1950,4,14,8.88888888888889
1950,4,15,8.88888888888889
1950,4,16,8.88888888888889
1950,4,17,9.16666666666667
1950,4,18,9.44444444444444
1950,4,19,7.22222222222222
1950,4,20,9.44444444444444
1950,4,21,9.44444444444444
1950,4,22,9.44444444444444
1950,4,23,9.44444444444444
1950,4,24,9.44444444444444
1950,4,25,9.44444444444444
1950,4,26,9.44444444444444
1950,4,27,8.88888888888889
1950,4,28,8.88888888888889
1950,4,29,8.88888888888889
1950,4,30,8.88888888888889
1950,5,1,9.44444444444444
1950,5,2,9.44444444444444
1950,5,3,9.72222222222222
1950,5,4,9.44444444444444
1950,5,5,9.44444444444444
1950,5,6,9.44444444444444
1950,5,7,9.44444444444444
1950,5,8,9.44444444444444
1950,5,9,9.72222222222222
1950,5,10,10
1950,5,11,11.1111111111111
1950,5,12,11.6666666666667
1950,5,13,12.2222222222222
1950,5,14,12.7777777777778
1950,5,15,12.7777777777778
1950,5,16,13.3333333333333
1950,5,17,12.7777777777778
1950,5,18,12.7777777777778
1950,5,19,11.6666666666667
1950,5,20,11.1111111111111
1950,5,21,11.1111111111111
1950,5,22,11.6666666666667
1950,5,23,11.6666666666667
1950,5,24,11.6666666666667
1950,5,25,11.6666666666667
1950,5,26,11.6666666666667
1950,5,27,12.2222222222222
1950,5,28,12.2222222222222
1950,5,29,12.2222222222222
1950,5,30,12.2222222222222
1950,5,31,12.2222222222222
1950,6,1,12.2222222222222
1950,6,2,12.7777777777778
1950,6,3,12.7777777777778
1950,6,4,12.7777777777778
1950,6,5,12.7777777777778
1950,6,6,12.7777777777778
1950,6,7,12.7777777777778
1950,6,8,12.7777777777778
1950,6,9,12.7777777777778
1950,6,10,12.2222222222222
1950,6,11,12.2222222222222
1950,6,12,12.2222222222222
1950,6,13,12.2222222222222
1950,6,14,12.2222222222222
1950,6,15,12.7777777777778
1950,6,16,12.7777777777778
1950,6,17,12.7777777777778
1950,6,18,12.7777777777778
1950,6,19,12.7777777777778
1950,6,20,12.7777777777778
1950,6,21,12.7777777777778
1950,6,22,12.7777777777778
1950,6,23,12.7777777777778
1950,6,24,12.7777777777778
1950,6,25,12.7777777777778
1950,6,26,12.7777777777778
1950,6,27,12.7777777777778
1950,6,28,13.3333333333333
1950,6,29,13.8888888888889
1950,7,1,13.3333333333333
1950,7,2,14.4444444444444
1950,7,3,14.4444444444444
1950,7,4,14.4444444444444
1950,7,5,15
1950,7,6,15
1950,7,7,16.1111111111111
1950,7,8,16.6666666666667
1950,7,9,16.6666666666667
1950,7,10,16.6666666666667
1950,7,11,16.6666666666667
1950,7,12,16.6666666666667
1950,7,13,17.2222222222222
1950,7,14,16.1111111111111
1950,7,15,16.6666666666667
1950,7,16,16.6666666666667
1950,7,17,16.6666666666667
1950,7,18,16.6666666666667
1950,7,19,17.2222222222222
1950,7,20,17.2222222222222
1950,7,21,17.2222222222222
1950,7,22,17.7777777777778
1950,7,23,17.7777777777778
1950,7,24,18.3333333333333
1950,7,25,18.3333333333333
1950,7,26,18.3333333333333
1950,7,27,18.3333333333333
1950,7,28,18.3333333333333
1950,7,29,18.8888888888889
1950,7,30,18.8888888888889
1950,7,31,18.8888888888889
1950,8,1,18.3333333333333
1950,8,2,18.3333333333333
1950,8,3,18.3333333333333
1950,8,4,18.3333333333333
1950,8,5,18.8888888888889
1950,8,6,18.8888888888889
1950,8,7,18.8888888888889
1950,8,8,18.8888888888889
1950,8,9,18.8888888888889
1950,8,10,18.8888888888889
1950,8,11,18.8888888888889
1950,8,12,18.8888888888889
1950,8,13,19.4444444444444
1950,8,14,19.4444444444444
1950,8,15,19.4444444444444
1950,8,16,19.4444444444444
1950,8,17,20
1950,8,18,20.5555555555556
1950,8,19,20.5555555555556
1950,8,20,20.5555555555556
1950,8,21,21.1111111111111
1950,8,22,21.1111111111111
1950,8,23,21.6666666666667
1950,8,24,20.5555555555556
1950,8,25,20.5555555555556
1950,8,26,21.1111111111111
1950,8,27,21.1111111111111
1950,8,28,21.1111111111111
1950,8,29,20.5555555555556
1950,8,30,20.2777777777778
1950,8,31,20.5555555555556
1950,9,1,20.5555555555556
1950,9,2,20.5555555555556
1950,9,3,20.5555555555556
1950,9,4,20.5555555555556
1950,9,5,20.5555555555556
1950,9,6,20.5555555555556
1950,9,7,20.5555555555556
1950,9,8,20.5555555555556
1950,9,9,20.5555555555556
1950,9,10,20
1950,9,11,20
1950,9,12,19.4444444444444
1950,9,13,19.4444444444444
1950,9,14,19.4444444444444
1950,9,15,18.8888888888889
1950,9,16,18.8888888888889
1950,9,17,18.8888888888889
1950,9,18,18.8888888888889
1950,9,19,18.6111111111111
1950,9,20,18.6111111111111
1950,9,21,18.6111111111111
1950,9,22,17.7777777777778
1950,9,23,17.7777777777778
1950,9,24,17.7777777777778
1950,9,25,17.7777777777778
1950,9,26,17.7777777777778
1950,9,27,17.7777777777778
1950,9,28,17.7777777777778
1950,9,29,17.2222222222222
1950,9,30,17.2222222222222
1950,10,1,16.6666666666667
1950,10,2,16.1111111111111
1950,10,3,15.5555555555556
1950,10,4,13.8888888888889
1950,10,5,13.8888888888889
1950,10,6,12.7777777777778
1950,10,7,13.3333333333333
1950,10,8,13.3333333333333
1950,10,9,13.3333333333333
1950,10,10,12.7777777777778
1950,10,11,12.7777777777778
1950,10,12,12.7777777777778
1950,10,13,13.3333333333333
1950,10,14,14.4444444444444
1950,10,15,14.4444444444444
1950,10,16,14.4444444444444
1950,10,17,14.4444444444444
1950,10,18,14.4444444444444
1950,10,19,14.4444444444444
1950,10,20,13.8888888888889
1950,10,21,13.8888888888889
1950,10,22,13.8888888888889
1950,10,23,13.8888888888889
1950,10,24,13.8888888888889
1950,10,25,13.8888888888889
1950,10,26,13.8888888888889
1950,10,27,12.7777777777778
1950,10,28,12.2222222222222
1950,10,29,11.6666666666667
1950,10,30,11.1111111111111
1950,10,31,10.5555555555556
1950,11,1,10.5555555555556
1950,11,2,10.5555555555556
1950,11,3,10.5555555555556
1950,11,4,11.1111111111111
1950,11,5,10.5555555555556
1950,11,6,11.1111111111111
1950,11,7,11.1111111111111
1950,11,8,11.1111111111111
1950,11,9,10.5555555555556
1950,11,10,10
1950,11,11,10
1950,11,12,10
1950,11,13,9.44444444444444
1950,11,14,9.44444444444444
1950,11,15,9.44444444444444
1950,11,16,7.77777777777778
1950,11,17,7.22222222222222
1950,11,18,7.22222222222222
1950,11,19,7.22222222222222
1950,11,20,7.22222222222222
1950,11,21,7.22222222222222
1950,11,22,7.22222222222222
1950,11,23,7.22222222222222
1950,11,24,7.22222222222222
1950,11,25,7.22222222222222
1950,11,26,7.22222222222222
1950,11,27,7.77777777777778
1950,11,28,7.22222222222222
1950,11,29,7.22222222222222
1951,3,1,4.44444444444444
1951,3,2,3.88888888888889
1951,3,3,3.88888888888889
1951,3,4,3.88888888888889
1951,3,5,3.33333333333333
1951,3,6,3.88888888888889
1951,3,7,3.88888888888889
1951,3,8,3.88888888888889
1951,3,9,3.88888888888889
1951,3,10,3.33333333333333
1951,3,11,3.33333333333333
1951,3,12,3.88888888888889
1951,3,13,3.33333333333333
1951,3,14,3.33333333333333
1951,3,15,4.44444444444444
1951,3,16,4.44444444444444
1951,3,17,4.44444444444444
1951,3,18,4.44444444444444
1951,3,19,5
1951,3,20,5.55555555555556
1951,3,21,5.55555555555556
1951,3,22,5.55555555555556
1951,3,23,6.11111111111111
1951,3,24,6.11111111111111
1951,3,25,6.66666666666667
1951,3,26,6.66666666666667
1951,3,27,6.66666666666667
1951,3,28,6.66666666666667
1951,3,29,7.22222222222222
1951,3,30,7.22222222222222
1951,3,31,7.77777777777778
1951,4,1,7.77777777777778
1951,4,2,7.77777777777778
1951,4,3,7.77777777777778
1951,4,4,7.77777777777778
1951,4,5,8.33333333333333
1951,4,6,8.88888888888889
1951,4,7,9.44444444444444
1951,4,8,10
1951,4,9,10
1951,4,10,10
1951,4,11,10
1951,4,12,10
1951,4,13,10
1951,4,14,10
1951,4,15,10
1951,4,16,10.5555555555556
1951,4,17,11.1111111111111
1951,4,18,11.1111111111111
1951,4,19,11.1111111111111
1951,4,20,10
1951,4,21,9.44444444444444
1951,4,22,8.88888888888889
1951,4,23,8.88888888888889
1951,4,24,8.88888888888889
1951,4,25,8.88888888888889
1951,4,26,8.88888888888889
1951,4,27,9.44444444444444
1951,4,28,9.44444444444444
1951,4,29,9.44444444444444
1951,4,30,10
1951,5,1,9.44444444444444
1951,5,2,9.44444444444444
1951,5,3,10
1951,5,4,10
1951,5,5,10
1951,5,6,10
1951,5,7,10.5555555555556
1951,5,8,11.1111111111111
1951,5,9,11.1111111111111
1951,5,10,12.2222222222222
1951,5,11,12.2222222222222
1951,5,12,12.2222222222222
1951,5,13,11.6666666666667
1951,5,14,11.1111111111111
1951,5,15,11.1111111111111
1951,5,16,11.1111111111111
1951,5,17,11.6666666666667
1951,5,18,11.6666666666667
1951,5,19,12.2222222222222
1951,5,20,12.2222222222222
1951,5,21,12.2222222222222
1951,5,22,12.2222222222222
1951,5,23,12.2222222222222
1951,5,24,12.2222222222222
1951,5,25,12.7777777777778
1951,5,26,12.7777777777778
1951,5,27,12.7777777777778
1951,5,28,12.7777777777778
1951,5,29,12.7777777777778
1951,5,30,12.2222222222222
1951,5,31,12.2222222222222
1951,6,1,12.2222222222222
1951,6,2,12.2222222222222
1951,6,3,12.2222222222222
1951,6,4,12.2222222222222
1951,6,5,12.2222222222222
1951,6,6,12.2222222222222
1951,6,7,12.2222222222222
1951,6,8,12.2222222222222
1951,6,9,12.2222222222222
1951,6,10,12.7777777777778
1951,6,11,13.3333333333333
1951,6,12,13.3333333333333
1951,6,13,13.8888888888889
1951,6,14,14.4444444444444
1951,6,15,14.4444444444444
1951,6,16,15.5555555555556
1951,6,17,15.5555555555556
1951,6,18,15.5555555555556
1951,6,19,15.5555555555556
1951,6,20,15.5555555555556
1951,6,21,15.5555555555556
1951,6,22,15.5555555555556
1951,6,23,15.5555555555556
1951,6,24,15.5555555555556
1951,6,25,15.5555555555556
1951,6,26,15.5555555555556
1951,6,27,15.5555555555556
1951,6,28,15.5555555555556
1951,6,29,15.5555555555556
1951,6,30,15.5555555555556
1951,7,1,16.1111111111111
1951,7,2,16.6666666666667
1951,7,3,16.6666666666667
1951,7,4,16.6666666666667
1951,7,5,16.6666666666667
1951,7,6,16.6666666666667
1951,7,7,16.6666666666667
1951,7,8,16.6666666666667
1951,7,9,16.6666666666667
1951,7,10,16.6666666666667
1951,7,11,16.6666666666667
1951,7,12,17.2222222222222
1951,7,13,17.2222222222222
1951,7,14,17.7777777777778
