
mm/dd, 2020:BON:tempscr (C), 2019:BON:tempscr (C), 2018:BON:tempscr (C), 2017:BON:tempscr (C), 2016:BON:tempscr (C), 2015:BON:tempscr (C), 2014:BON:tempscr (C), 2013:BON:tempscr (C), 2012:BON:tempscr (C), 2011:BON:tempscr (C), 2010:BON:tempscr (C), 2009:BON:tempscr (C), 2008:BON:tempscr (C), 2007:BON:tempscr (C), 2006:BON:tempscr (C), 2005:BON:tempscr (C), 2004:BON:tempscr (C), 2003:BON:tempscr (C), 2002:BON:tempscr (C), 2001:BON:tempscr (C), 2000:BON:tempscr (C), 1999:BON:tempscr (C), 1998:BON:tempscr (C), 1997:BON:tempscr (C), 1996:BON:tempscr (C), 1995:BON:tempscr (C), 1994:BON:tempscr (C), 1993:BON:tempscr (C), 1992:BON:tempscr (C), 1991:BON:tempscr (C), 1990:BON:tempscr (C), 1989:BON:tempscr (C), 1988:BON:tempscr (C), 1987:BON:tempscr (C), 1986:BON:tempscr (C), 1985:BON:tempscr (C), 1984:BON:tempscr (C), 1983:BON:tempscr (C), 1982:BON:tempscr (C), 1981:BON:tempscr (C), 1980:BON:tempscr (C), 1976:BON:tempscr (C), 1975:BON:tempscr (C), 1974:BON:tempscr (C), 1973:BON:tempscr (C), 1972:BON:tempscr (C), 1971:BON:tempscr (C), 1970:BON:tempscr (C)
3/1, 5.000, 2.200, 3.300, 3.300, 5.600, 5.600, 2.800, 5.000, 4.400, 3.300, 6.100, 3.900, 5.000, 5.000, 3.900, NA, 3.900, 5.600, NA, 6.100, 5.600, 6.100, NA, 5.000, 4.400, 5.600, 4.444, 2.222, 7.222, 5.556, 5.000, 2.778, NA, 5.556, 5.000, 4.444, 5.000, 6.667, NA, NA, 3.889, NA, NA, NA, NA, NA, NA, NA
3/2, 5.000, 2.200, 3.900, 3.300, 5.600, 5.600, 3.300, 5.000, 4.400, 3.300, 6.700, 3.900, 5.600, 4.400, 4.400, 5.600, 3.900, 4.400, 7.200, 6.100, 5.600, 5.600, 6.100, 5.000, NA, 6.100, 4.444, 1.667, 7.222, 5.556, 5.000, 2.778, NA, 5.556, 5.556, 3.889, 5.000, 6.667, NA, NA, 3.889, NA, NA, NA, NA, NA, NA, NA
3/3, 5.000, 1.700, 3.900, 3.300, 5.600, 5.600, 3.300, 5.600, 4.400, 3.300, 6.100, 3.900, 5.600, 5.000, 4.400, 5.000, 4.400, 4.400, 7.200, NA, 5.600, 6.100, 6.100, 5.000, 3.900, 6.100, 4.444, 2.222, 7.222, 5.556, 5.000, 2.778, NA, 5.556, 5.556, 6.667, 5.000, 6.667, NA, NA, 4.444, 4.100, NA, NA, NA, NA, NA, NA
3/4, 5.600, 1.700, 3.900, 3.300, 5.600, 5.600, 3.900, 5.600, 4.400, 3.300, 6.700, 4.400, 5.600, 5.000, 4.400, 5.000, 4.400, 5.000, 7.200, NA, 5.600, 5.600, NA, 5.000, 3.900, 6.100, 4.444, 2.222, 7.222, 5.556, 5.000, 2.778, NA, 5.556, 6.111, 4.444, 5.000, 6.667, NA, NA, 4.444, NA, NA, NA, NA, NA, NA, NA
3/5, 5.600, 1.700, 3.900, 3.300, 5.600, 5.600, 3.900, 5.600, 5.000, 2.800, 6.700, 4.400, 5.600, 5.000, 5.000, NA, NA, NA, 7.200, NA, 5.600, 5.600, 6.700, NA, 3.900, 6.100, 5.000, 2.222, 7.222, 5.556, 5.556, 2.778, NA, 5.556, 6.111, 5.000, 5.000, 6.667, NA, NA, 5.000, NA, NA, NA, NA, NA, 4.189, NA
3/6, 5.600, 1.700, 3.900, 3.300, 5.600, 5.600, 3.900, 5.600, 5.600, 2.800, 6.700, 4.400, 5.600, 5.600, 5.000, NA, 4.400, 5.600, 7.200, NA, 5.600, 6.100, 6.700, 5.000, 3.900, 6.100, 5.556, 2.222, 7.222, 5.556, 5.556, 2.778, NA, 6.111, 6.111, 4.444, 5.556, 6.667, NA, NA, 5.000, NA, NA, NA, NA, NA, NA, NA
3/7, 5.600, 1.700, 3.900, 3.300, NA, 5.600, 5.000, 5.000, 5.600, 2.800, 6.700, NA, 5.600, 5.600, 5.000, NA, 4.400, 5.600, 7.200, 6.700, 5.600, 6.100, 6.700, 5.000, 3.900, 6.100, 5.556, 2.222, 7.778, 5.556, 5.556, 3.333, NA, 6.111, 6.667, 4.444, 5.556, 7.222, NA, NA, 5.000, NA, NA, NA, NA, 5.633, NA, NA
3/8, 5.600, 1.700, 3.900, 3.300, 5.600, 5.600, 5.000, 5.600, 5.600, 2.800, 6.700, 3.900, 5.600, 5.600, 5.600, NA, 4.400, 5.600, 7.800, 7.200, 5.600, 6.100, NA, 5.000, NA, 6.700, 5.556, 2.778, 7.778, 5.556, 5.556, 3.333, NA, 5.556, 6.667, 5.000, 5.556, 7.778, NA, NA, 5.000, NA, NA, NA, NA, NA, NA, NA
3/9, 5.600, 1.700, 3.900, 3.900, 5.600, 5.600, 5.000, 5.600, 5.600, 3.300, 6.700, 4.400, 5.600, 5.600, 5.600, 5.600, 4.400, 5.000, NA, 7.200, 6.100, 6.100, 6.100, 5.000, 5.000, 6.700, 5.556, 3.333, 8.333, 5.556, 5.556, 3.889, NA, 5.556, 6.667, 5.000, 5.556, 7.778, NA, NA, 5.000, NA, NA, NA, NA, NA, NA, NA
3/10, 5.600, 2.200, 3.900, 3.900, 6.100, 5.600, 5.000, 5.600, 5.000, 3.900, 6.700, 4.400, 5.600, 5.600, 5.000, 6.100, 4.400, 5.600, NA, 7.200, 6.100, 6.100, 6.700, 5.000, 4.400, 6.700, 5.556, 3.333, 8.333, 6.111, 6.111, 3.889, NA, 5.556, 6.667, 5.000, 5.556, 7.222, NA, NA, 5.000, NA, NA, NA, NA, NA, NA, NA
3/11, 6.100, 2.200, 4.400, 4.400, 6.100, 6.100, 4.400, 5.600, 5.600, 3.900, 6.700, 4.400, 6.100, 6.100, 5.000, 6.700, 4.400, 5.600, NA, 7.200, 6.100, 6.100, 6.700, 5.000, 5.000, 7.200, 5.556, 3.333, 8.889, 6.111, 5.556, 4.444, NA, 5.556, 5.556, 5.556, 5.556, 7.222, NA, NA, 5.000, NA, NA, NA, NA, NA, NA, NA
3/12, 6.100, 2.200, 4.400, 4.400, 6.100, 6.100, 5.600, 5.600, 5.600, 3.900, 6.700, 4.400, 6.100, 6.100, 5.000, 6.700, 5.600, 5.600, 7.200, 7.200, 6.100, 6.100, 7.800, 5.000, NA, 7.200, 6.111, 3.333, 8.333, 6.111, 5.556, 4.444, NA, 5.556, 7.222, 5.556, 5.556, 7.222, NA, NA, 5.556, NA, NA, NA, NA, NA, NA, NA
