
mm/dd, 2009:JDA:tempscr (C), 2008:JDA:tempscr (C), 2007:JDA:tempscr (C), 2004:JDA:tempscr (C), 2003:JDA:tempscr (C), 2002:JDA:tempscr (C), 2001:JDA:tempscr (C), 2000:JDA:tempscr (C), 1999:JDA:tempscr (C), 1998:JDA:tempscr (C), 1997:JDA:tempscr (C), 1996:JDA:tempscr (C), 1995:JDA:tempscr (C), 1994:JDA:tempscr (C), 1993:JDA:tempscr (C), 1992:JDA:tempscr (C), 1991:JDA:tempscr (C), 1990:JDA:tempscr (C), 1989:JDA:tempscr (C), 1988:JDA:tempscr (C), 1987:JDA:tempscr (C), 1986:JDA:tempscr (C), 1985:JDA:tempscr (C), 1984:JDA:tempscr (C), 1983:JDA:tempscr (C), 1982:JDA:tempscr (C), 1980:JDA:tempscr (C), 1979:JDA:tempscr (C), 1978:JDA:tempscr (C), 1976:JDA:tempscr (C), 1975:JDA:tempscr (C), 1974:JDA:tempscr (C), 1973:JDA:tempscr (C), 1972:JDA:tempscr (C), 1971:JDA:tempscr (C), 1970:JDA:tempscr (C)
3/1, 3.900, NA, NA, NA, 5.600, 5.000, NA, NA, NA, NA, NA, NA, 3.300, NA, NA, 7.222, 5.000, 4.444, 2.778, NA, NA, NA, NA, 3.778, 4.056, NA, 2.556, NA, NA, NA, NA, NA, NA, NA, NA, NA
3/2, 3.900, NA, NA, NA, 5.600, 5.000, NA, NA, NA, NA, 4.400, NA, 3.900, NA, NA, 5.000, 5.556, 4.444, 2.778, NA, NA, NA, NA, 3.778, 4.056, NA, 2.722, NA, NA, NA, NA, NA, NA, NA, NA, NA
3/3, 3.300, NA, NA, NA, 5.600, 5.000, NA, NA, NA, NA, 5.000, NA, 3.900, NA, NA, 6.111, 4.444, 4.444, 2.778, NA, NA, NA, NA, 3.833, 4.167, NA, 3.167, NA, NA, NA, NA, NA, NA, NA, NA, NA
3/4, 3.900, NA, NA, NA, 6.100, NA, NA, NA, NA, NA, 4.400, NA, 3.300, NA, NA, 7.778, 4.444, 4.444, 2.778, NA, NA, NA, NA, 4.222, 4.389, NA, 3.833, NA, NA, NA, NA, NA, NA, NA, NA, NA
3/5, 4.400, NA, NA, NA, 6.100, NA, NA, NA, NA, NA, 4.400, NA, 3.900, NA, NA, 7.778, 4.444, 4.444, 2.778, NA, NA, NA, NA, 4.389, 4.444, NA, 3.611, NA, NA, NA, NA, NA, NA, NA, NA, NA
3/6, 3.900, NA, NA, NA, 6.100, NA, NA, NA, NA, NA, 4.400, NA, 3.900, NA, NA, 5.556, 4.444, 4.444, 2.778, NA, NA, NA, NA, 4.278, 4.556, NA, 3.778, NA, NA, NA, NA, NA, NA, NA, NA, NA
3/7, 4.400, NA, NA, NA, 6.100, 2.800, NA, NA, NA, NA, 4.400, NA, NA, NA, NA, 5.556, 4.444, 4.444, 3.333, NA, NA, NA, NA, 4.333, 4.667, NA, 3.889, NA, NA, NA, NA, NA, NA, NA, NA, NA
3/8, NA, NA, NA, NA, NA, 5.000, NA, NA, NA, NA, 4.400, NA, NA, NA, NA, 5.556, 5.000, 5.000, 3.333, NA, NA, NA, NA, 4.389, 4.722, NA, 4.222, NA, NA, NA, NA, NA, NA, NA, NA, NA
3/9, NA, NA, NA, NA, NA, 5.000, NA, NA, NA, NA, 5.000, NA, NA, NA, NA, 8.889, 4.444, 5.556, 3.333, NA, NA, NA, NA, 4.500, 4.833, NA, 4.278, NA, NA, NA, NA, NA, NA, NA, NA, NA
3/10, NA, NA, NA, NA, NA, 5.000, NA, NA, NA, NA, 5.000, NA, NA, NA, NA, 6.111, 4.444, 5.000, 3.889, NA, NA, NA, NA, 4.667, 5.056, NA, 4.333, NA, NA, NA, NA, NA, NA, NA, NA, NA
3/11, NA, NA, NA, NA, 6.400, NA, NA, NA, NA, NA, 5.600, NA, NA, NA, NA, 6.667, 4.444, 6.111, 4.444, NA, NA, NA, NA, 4.944, 5.222, NA, 4.444, NA, NA, NA, NA, NA, NA, NA, NA, NA
3/12, NA, 5.600, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, 5.556, 5.000, 5.556, 4.444, NA, NA, NA, NA, 4.500, 5.333, NA, 4.611, NA, NA, NA, NA, NA, NA, NA, NA, NA
3/13, NA, 5.600, NA, NA, 6.700, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, 5.556, 5.000, 5.556, 3.889, NA, NA, NA, NA, 4.500, 5.389, NA, 4.778, NA, NA, NA, NA, NA, NA, NA, NA, NA
3/14, NA, 5.600, NA, NA, 7.200, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, 5.556, 4.444, 5.556, 5.000, NA, NA, NA, NA, 5.167, 5.667, NA, 4.778, NA, NA, NA, NA, NA, NA, NA, NA, NA
3/15, NA, 6.100, NA, NA, 7.200, NA, NA, NA, NA, 6.100, NA, NA, 3.900, NA, NA, 5.556, 5.000, 5.556, 3.333, NA, NA, NA, NA, 5.222, 5.556, NA, 3.111, NA, NA, NA, NA, NA, NA, NA, NA, NA
3/16, NA, 6.100, NA, NA, 7.200, NA, NA, NA, NA, 7.200, NA, NA, 5.000, NA, NA, 5.556, 5.000, 5.556, 5.000, NA, NA, NA, NA, 5.278, 5.611, NA, 3.778, NA, NA, NA, NA, NA, NA, NA, NA, NA
3/17, NA, 7.200, NA, NA, NA, NA, NA, NA, NA, 7.800, NA, NA, 5.000, NA, NA, 6.111, 4.444, 5.556, 5.556, NA, NA, NA, NA, 5.611, 5.722, NA, 3.889, NA, NA, NA, NA, NA, NA, NA, NA, NA
3/18, NA, 6.700, NA, NA, 7.800, 5.600, NA, NA, NA, 7.200, NA, NA, 5.000, NA, NA, 6.111, 4.444, 5.556, 5.000, NA, NA, NA, NA, 5.833, 5.833, NA, 4.000, NA, NA, NA, NA, NA, NA, NA, NA, NA
3/19, NA, 6.700, NA, NA, 8.300, 5.600, NA, NA, NA, 8.300, 6.100, NA, 5.000, NA, NA, 7.778, 5.000, 5.556, 5.000, NA, NA, NA, NA, 5.833, 5.889, NA, 4.111, NA, NA, NA, NA, NA, NA, NA, NA, NA
3/20, NA, 6.700, NA, NA, 7.800, NA, NA, NA, NA, NA, NA, NA, 5.600, NA, NA, 6.111, 4.444, 5.556, 5.556, NA, NA, NA, NA, 5.889, 5.889, NA, 4.333, NA, NA, NA, NA, NA, NA, NA, NA, NA
3/21, NA, 6.700, NA, NA, 7.800, NA, NA, NA, NA, 7.800, 6.100, NA, 5.600, NA, NA, 6.111, 4.444, 5.556, 5.556, NA, NA, NA, NA, 5.833, 5.833, NA, 4.500, NA, NA, NA, NA, NA, NA, NA, NA, NA
3/22, NA, 6.700, NA, NA, NA, NA, NA, 7.200, NA, 7.800, NA, NA, 5.600, NA, NA, 8.333, 4.444, 5.556, 5.556, NA, NA, NA, NA, 5.944, 5.944, NA, 4.389, NA, NA, NA, NA, NA, NA, NA, NA, NA
3/23, NA, 6.700, NA, NA, NA, NA, NA, NA, NA, 8.300, NA, NA, 5.600, NA, NA, 8.333, 4.444, 6.111, 5.556, NA, NA, NA, NA, 6.167, 5.944, NA, 4.500, NA, NA, NA, NA, NA, NA, NA, 4.300, NA
3/24, NA, 7.200, NA, NA, NA, NA, NA, 6.700, NA, NA, NA, NA, 5.600, NA, NA, 8.333, 5.000, 6.111, 7.222, NA, NA, NA, NA, 6.389, 6.000, NA, 4.500, NA, NA, NA, NA, NA, NA, NA, NA, NA
3/25, NA, 7.200, NA, NA, 8.300, 5.600, NA, 7.200, NA, NA, 6.700, NA, 5.600, NA, NA, 8.333, 5.556, 6.111, 7.222, NA, NA, NA, NA, 6.444, 6.000, NA, 4.500, NA, NA, NA, NA, NA, NA, NA, NA, NA
3/26, NA, 7.200, NA, NA, 8.900, 5.600, NA, NA, NA, NA, NA, NA, 9.400, NA, NA, 8.333, 6.667, 6.667, 7.222, NA, NA, NA, NA, 6.611, NA, NA, 4.667, NA, NA, NA, NA, NA, NA, NA, NA, NA
3/27, NA, 6.700, NA, NA, 8.300, 5.600, NA, 7.800, NA, NA, NA, NA, 5.600, NA, NA, 8.333, 5.556, 6.111, 7.222, NA, NA, NA, NA, 6.722, 6.111, NA, 4.722, NA, NA, NA, NA, NA, NA, NA, NA, NA
3/28, NA, 6.700, NA, NA, NA, NA, NA, 7.800, NA, NA, NA, NA, 5.600, NA, NA, 8.333, 6.111, 6.667, 7.222, NA, NA, NA, NA, 6.722, 6.167, NA, 4.833, NA, NA, NA, NA, NA, NA, 7.140, NA, NA
3/29, NA, 6.700, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, 8.889, 6.111, 6.667, 7.222, NA, NA, NA, NA, 6.722, 6.222, NA, 5.000, NA, NA, NA, NA, NA, NA, NA, NA, NA
