
mm/dd, 2020:MCN:tempscr (C), 2019:MCN:tempscr (C), 2018:MCN:tempscr (C), 2017:MCN:tempscr (C), 2016:MCN:tempscr (C), 2015:MCN:tempscr (C), 2014:MCN:tempscr (C), 2013:MCN:tempscr (C), 2012:MCN:tempscr (C), 2011:MCN:tempscr (C), 2010:MCN:tempscr (C), 2009:MCN:tempscr (C), 1999:MCN:tempscr (C), 1998:MCN:tempscr (C), 1997:MCN:tempscr (C), 1996:MCN:tempscr (C), 1995:MCN:tempscr (C), 1994:MCN:tempscr (C), 1993:MCN:tempscr (C), 1992:MCN:tempscr (C), 1991:MCN:tempscr (C), 1990:MCN:tempscr (C), 1989:MCN:tempscr (C), 1988:MCN:tempscr (C), 1987:MCN:tempscr (C), 1986:MCN:tempscr (C), 1985:MCN:tempscr (C), 1984:MCN:tempscr (C), 1983:MCN:tempscr (C), 1982:MCN:tempscr (C), 1981:MCN:tempscr (C), 1980:MCN:tempscr (C), 1979:MCN:tempscr (C), 1978:MCN:tempscr (C), 1977:MCN:tempscr (C), 1976:MCN:tempscr (C), 1975:MCN:tempscr (C), 1974:MCN:tempscr (C), 1973:MCN:tempscr (C), 1972:MCN:tempscr (C), 1971:MCN:tempscr (C), 1970:MCN:tempscr (C)
3/1, 3.900, 2.200, 3.300, 3.300, 5.600, 5.000, 3.300, 3.900, 4.400, NA, 5.000, 3.300, 5.600, NA, 4.400, 3.900, 5.600, NA, NA, NA, 3.889, 5.000, 3.333, NA, NA, NA, 3.333, 3.889, 5.000, 4.444, 5.556, 3.889, 2.778, NA, NA, NA, NA, NA, NA, NA, NA, NA
3/2, 3.900, 2.200, 3.300, 3.300, 5.600, 5.000, 3.300, 3.900, 4.400, NA, 5.000, 3.300, 5.600, NA, 5.000, 3.900, 5.000, NA, NA, NA, NA, 5.000, 3.333, NA, NA, NA, 3.333, 4.444, 5.556, 4.444, 5.556, 3.889, 2.778, NA, NA, NA, NA, NA, NA, NA, NA, NA
3/3, 3.900, 2.200, 3.300, 3.300, 5.600, 5.000, 2.800, 4.400, 4.400, NA, 5.000, 3.300, 5.600, NA, NA, 3.900, 5.000, NA, NA, NA, NA, 5.000, 3.333, NA, NA, NA, 3.889, 4.444, 5.556, 4.444, 5.556, 4.444, 2.778, NA, NA, NA, NA, NA, NA, NA, 3.475, NA
3/4, 4.400, 2.200, 3.900, 3.900, 5.600, 5.000, 2.800, 4.400, 3.900, NA, 5.000, 3.300, 5.600, NA, 5.000, NA, 4.400, NA, NA, NA, NA, 5.000, 3.333, NA, NA, NA, 3.889, 4.444, 6.667, 4.444, 5.556, 4.444, 3.333, NA, NA, NA, NA, NA, NA, NA, NA, NA
3/5, 4.400, 2.200, 3.900, 3.900, 5.600, 5.000, 3.300, 4.400, 3.900, NA, 5.600, 3.900, 0.000, NA, 5.000, 3.900, 4.400, NA, NA, NA, NA, 5.000, 3.333, NA, NA, NA, 3.889, 4.444, 6.667, 4.444, 5.556, 4.444, 3.333, NA, NA, NA, NA, NA, NA, NA, NA, NA
3/6, 4.400, 2.200, 3.900, 3.900, 5.600, 5.000, 2.800, 4.400, 4.400, NA, 5.600, 3.900, NA, 5.000, 5.000, 3.900, 4.400, NA, NA, NA, 4.444, 5.000, 3.333, NA, NA, NA, 3.889, 4.444, 6.667, 4.444, 5.556, 4.444, 3.333, NA, NA, NA, NA, NA, NA, NA, NA, NA
3/7, 4.400, 2.200, 4.400, 3.900, 5.600, 5.000, 3.300, 5.000, 4.400, NA, 5.600, 3.900, 5.600, 5.000, 5.000, 3.900, 4.400, NA, NA, NA, 4.444, 5.000, 3.333, NA, NA, NA, 3.889, 4.444, 6.667, 4.444, 5.556, 4.444, 3.333, NA, NA, NA, NA, NA, NA, NA, NA, NA
3/8, 5.600, 2.200, 4.400, 3.900, 5.600, 5.000, 3.300, 5.000, 4.400, NA, 6.100, 3.900, 5.600, 5.600, 5.000, 3.900, 4.400, NA, NA, NA, 4.444, 5.000, 3.333, NA, NA, NA, 3.889, 5.000, 7.222, 4.444, 5.556, 4.444, 3.333, NA, NA, NA, NA, NA, NA, NA, NA, NA
3/9, 5.600, 3.900, 4.400, 3.900, 6.100, 5.600, 4.400, 5.000, 4.400, NA, 6.100, 3.900, 5.600, NA, 5.000, 3.900, 4.400, NA, NA, NA, 4.444, 5.000, 3.333, NA, NA, NA, 3.889, 5.000, 7.222, 4.444, 5.556, 4.444, 3.889, NA, NA, NA, NA, NA, NA, NA, NA, NA
3/10, 5.600, 2.800, 4.400, 3.900, 6.100, 5.600, 4.400, 5.000, 4.400, NA, 6.100, 4.400, 5.600, 5.600, 5.000, 3.900, NA, NA, NA, NA, 4.444, 5.000, 3.333, NA, NA, NA, 4.444, 5.000, 7.222, 4.444, 5.556, 4.444, 3.889, NA, NA, NA, NA, NA, NA, NA, 3.375, NA
3/11, 5.600, 2.800, 5.000, 4.400, 6.100, 5.600, 4.400, 5.000, 4.400, NA, 6.100, 4.400, 5.000, 5.850, 5.600, 4.400, NA, NA, NA, NA, 4.444, 5.000, 3.333, NA, NA, NA, 4.444, 5.000, 6.667, 5.000, 5.556, 4.444, 4.444, NA, NA, NA, NA, NA, NA, NA, NA, NA
3/12, 5.600, 2.800, 5.000, 4.400, 6.100, 6.100, 4.400, 5.000, 4.400, NA, 6.100, 4.400, 5.600, 5.600, NA, 4.400, NA, NA, NA, NA, 4.444, 5.000, 3.333, NA, NA, NA, 4.444, 5.000, 6.667, 5.556, 5.556, 4.444, 4.444, NA, NA, NA, NA, NA, NA, NA, NA, NA
3/13, 5.600, 2.800, 5.000, 5.000, 5.600, 6.100, 4.400, 5.000, 4.400, NA, 6.100, 3.900, 5.600, 5.600, 5.600, 5.000, NA, NA, NA, NA, 4.444, 5.000, 3.889, NA, NA, NA, 4.444, 5.000, 7.222, 5.556, 6.111, 4.444, 4.444, NA, NA, NA, NA, NA, NA, NA, NA, NA
3/14, 6.100, 2.800, NA, NA, 6.100, 6.700, NA, 5.000, 4.400, NA, 6.100, 3.900, 5.600, 5.600, 6.100, NA, NA, NA, NA, NA, 4.444, 5.556, 4.444, NA, NA, NA, 4.444, 5.556, 7.222, 5.556, 6.111, 4.444, 4.444, NA, NA, NA, NA, NA, NA, NA, NA, NA
3/15, 5.600, 3.300, 5.000, NA, 6.100, 6.700, 5.600, 5.600, 4.400, NA, 6.100, 3.900, 5.600, 6.700, 5.600, 5.600, 4.400, NA, NA, NA, 4.444, 5.000, 4.444, NA, NA, 6.111, 4.444, 5.556, 7.222, 5.556, 6.667, 5.000, 4.444, NA, NA, NA, NA, NA, NA, NA, NA, NA
3/16, 5.600, 3.300, 5.000, NA, 6.100, 7.200, 5.600, 5.600, 4.400, NA, 6.100, 3.900, 5.600, 6.700, 5.600, NA, NA, NA, NA, NA, 5.000, 5.556, 4.444, NA, NA, 6.667, 4.444, 5.000, 7.222, 6.111, 6.667, 4.444, 5.556, NA, NA, NA, NA, NA, NA, NA, NA, NA
3/17, NA, 3.300, 5.600, NA, 6.100, 7.200, 5.600, 6.100, 5.000, NA, 6.100, 3.900, 6.100, 6.700, 5.600, 5.600, 4.400, NA, NA, NA, 5.000, 5.556, 4.444, NA, NA, 6.667, 4.444, 6.111, 7.222, 6.111, 6.667, 4.444, 5.556, NA, NA, NA, NA, NA, NA, NA, NA, NA
3/18, 5.600, 3.900, 5.600, NA, 6.100, 7.200, 5.600, 6.100, 5.000, NA, 6.100, 4.400, 6.100, 6.700, NA, 5.600, 4.400, NA, NA, NA, 5.000, 5.556, 4.444, NA, NA, 6.667, 4.444, 5.000, 7.222, 6.111, 6.667, 4.444, 5.000, NA, NA, NA, NA, NA, NA, NA, NA, NA
3/19, 5.600, 3.900, 5.600, NA, 6.100, 7.200, 6.100, 6.100, 5.000, NA, 6.100, 4.400, NA, 7.800, NA, 6.100, 4.400, NA, NA, NA, 5.000, 5.556, 4.444, NA, NA, 6.667, 4.444, 6.111, 7.222, 6.111, 6.667, 5.000, 5.000, NA, NA, NA, NA, NA, NA, NA, NA, NA
3/20, 5.600, 3.900, 5.600, NA, 6.100, 7.200, 6.100, 6.100, 5.000, NA, 6.100, 4.400, 6.100, 7.800, NA, 6.100, 5.550, NA, NA, NA, 5.000, 5.556, 5.000, NA, NA, 6.667, 5.000, 5.000, 7.222, 6.111, 6.667, 5.000, 5.556, NA, NA, NA, NA, NA, NA, NA, NA, NA
3/21, 5.600, 3.900, 5.600, NA, 6.100, 7.200, 6.100, 6.100, NA, NA, 6.700, 5.000, 6.700, 7.800, 6.700, 6.100, 6.700, NA, NA, NA, 5.000, 5.556, 5.556, NA, NA, 6.667, 5.000, 5.000, 7.222, 6.111, 6.667, 5.556, 5.556, NA, NA, NA, NA, NA, NA, NA, NA, NA
3/22, 5.600, 3.900, 6.100, NA, 6.700, 7.200, 5.600, 6.100, 5.000, NA, 6.700, 5.000, 6.700, 7.800, NA, 6.100, 6.700, NA, NA, NA, 5.000, 6.667, 5.556, NA, NA, 7.222, 5.000, 6.111, 7.222, 6.111, 6.667, 5.556, 5.556, NA, NA, NA, NA, NA, NA, NA, NA, NA
3/23, 6.100, 5.000, 6.100, NA, 6.700, 7.200, 5.600, 6.100, 5.000, NA, 6.700, 5.000, 6.700, 7.800, NA, 6.100, 7.200, NA, NA, NA, 5.000, 6.667, 5.556, NA, NA, 7.222, 5.000, 6.667, 7.222, 6.111, 6.667, 5.556, 6.111, NA, NA, NA, NA, NA, NA, NA, 4.833, NA
