
mm/dd, 2009:TDA:tempscr (C), 2008:TDA:tempscr (C), 2007:TDA:tempscr (C), 2004:TDA:tempscr (C), 2003:TDA:tempscr (C), 2002:TDA:tempscr (C), 2001:TDA:tempscr (C), 2000:TDA:tempscr (C), 1999:TDA:tempscr (C), 1998:TDA:tempscr (C), 1997:TDA:tempscr (C), 1996:TDA:tempscr (C), 1995:TDA:tempscr (C), 1994:TDA:tempscr (C), 1993:TDA:tempscr (C), 1992:TDA:tempscr (C), 1991:TDA:tempscr (C), 1990:TDA:tempscr (C), 1989:TDA:tempscr (C), 1988:TDA:tempscr (C), 1987:TDA:tempscr (C), 1986:TDA:tempscr (C), 1985:TDA:tempscr (C), 1984:TDA:tempscr (C), 1983:TDA:tempscr (C), 1982:TDA:tempscr (C), 1981:TDA:tempscr (C), 1980:TDA:tempscr (C), 1979:TDA:tempscr (C), 1976:TDA:tempscr (C), 1975:TDA:tempscr (C), 1974:TDA:tempscr (C), 1973:TDA:tempscr (C), 1972:TDA:tempscr (C), 1971:TDA:tempscr (C), 1970:TDA:tempscr (C)
3/1, 3.300, NA, NA, NA, 5.600, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, 5.000, 5.000, 3.889, 2.778, NA, 5.000, 4.444, 3.333, NA, 5.556, NA, NA, 3.333, NA, NA, NA, NA, NA, NA, NA, NA
3/2, 3.300, NA, NA, NA, 5.600, NA, NA, NA, NA, NA, 5.000, NA, NA, NA, NA, NA, NA, 4.444, 2.778, NA, 5.000, 4.444, 3.333, NA, 5.556, NA, NA, 3.889, NA, NA, NA, NA, NA, NA, NA, NA
3/3, 3.900, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, 4.444, 4.444, 3.889, 2.778, NA, 5.000, 4.444, 3.333, NA, 5.556, NA, NA, 3.889, NA, NA, NA, NA, NA, NA, NA, NA
3/4, 3.900, NA, NA, NA, 6.100, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, 4.444, 4.444, 3.889, 2.778, NA, 5.000, 5.556, 3.889, NA, 6.111, NA, NA, 4.444, NA, NA, NA, NA, NA, NA, NA, NA
3/5, 3.900, NA, NA, NA, 6.100, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, 4.444, 4.444, 5.000, 2.778, NA, 5.000, 5.556, 3.889, NA, 6.111, NA, NA, 3.889, NA, NA, NA, NA, NA, NA, NA, NA
3/6, 4.400, NA, NA, NA, 6.700, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, 4.444, 4.444, 5.000, 2.778, NA, 5.000, 5.556, 3.889, NA, 6.667, NA, NA, 4.444, NA, NA, NA, NA, NA, NA, NA, NA
3/7, 4.400, NA, NA, NA, 6.700, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, 4.444, 4.444, 5.000, 3.333, NA, 5.000, 6.111, 3.889, NA, 6.667, NA, NA, 4.444, NA, NA, NA, NA, NA, NA, NA, NA
3/8, 4.400, NA, NA, NA, 6.700, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, 5.000, 3.889, NA, 5.000, 6.111, 3.889, NA, 6.667, NA, NA, 5.000, NA, NA, NA, NA, NA, NA, NA, NA
3/9, 4.400, NA, NA, NA, 6.700, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, 5.000, 3.889, NA, 5.556, 6.111, 4.444, NA, 6.667, NA, NA, 5.000, NA, NA, NA, NA, NA, NA, NA, NA
3/10, NA, NA, NA, NA, 6.700, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, 5.000, 3.889, NA, 5.000, 6.111, 4.444, NA, 6.667, NA, NA, 5.000, NA, NA, NA, NA, NA, NA, NA, NA
3/11, NA, NA, NA, NA, 6.700, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, 5.556, 3.889, NA, 5.000, 6.111, 4.444, NA, 6.667, NA, NA, 5.556, NA, NA, NA, NA, NA, NA, NA, NA
3/12, NA, 6.100, NA, NA, 6.700, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, 5.556, 3.889, NA, 5.556, 6.111, 4.444, NA, 7.222, NA, NA, 5.556, NA, NA, NA, NA, NA, NA, NA, NA
3/13, NA, 5.600, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, 4.444, 5.556, 4.444, NA, 6.111, 6.667, 5.000, NA, 7.222, NA, NA, 5.556, NA, NA, NA, NA, NA, NA, NA, NA
3/14, NA, 6.100, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, 5.000, 4.444, NA, 5.556, 6.667, 5.000, NA, 7.222, NA, NA, 5.556, NA, NA, NA, NA, NA, NA, NA, NA
3/15, NA, 6.100, NA, NA, 7.200, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, 5.556, 4.444, NA, 6.111, 6.667, 5.000, NA, 7.222, NA, NA, 5.556, NA, NA, NA, NA, NA, NA, NA, NA
3/16, NA, 6.700, NA, NA, 7.200, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, 5.556, 4.444, NA, 6.111, 7.222, 5.000, NA, 7.222, NA, NA, 5.556, NA, NA, NA, NA, NA, NA, NA, NA
3/17, NA, 6.100, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, 5.556, 6.111, 4.444, NA, 6.667, 7.222, 5.000, NA, 7.222, NA, NA, 5.556, NA, NA, NA, NA, NA, NA, NA, NA
3/18, NA, 6.100, NA, NA, 7.800, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, 5.556, 6.111, 4.444, NA, 6.667, 7.222, 5.000, NA, 7.222, NA, NA, 5.556, NA, NA, NA, NA, NA, NA, NA, NA
3/19, NA, 6.100, NA, NA, 7.800, NA, NA, NA, NA, NA, NA, NA, 6.700, NA, NA, NA, 6.111, 6.111, 4.444, NA, 6.667, 7.222, 5.000, NA, 7.222, NA, NA, 5.556, NA, NA, NA, NA, NA, NA, NA, NA
3/20, NA, 6.100, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, 6.111, 6.111, 4.444, NA, 6.667, 7.222, 5.000, NA, 7.778, NA, NA, 5.556, NA, NA, NA, NA, NA, NA, NA, NA
3/21, NA, 6.100, NA, NA, 7.800, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, 5.556, 6.667, 4.444, NA, 6.667, 7.222, 5.000, NA, 7.778, NA, NA, 5.556, NA, NA, NA, NA, NA, NA, NA, NA
3/22, NA, 6.100, NA, NA, 7.800, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, 5.556, 6.111, 4.444, NA, 6.667, 7.222, 5.556, NA, 7.778, NA, NA, 6.111, NA, NA, NA, NA, NA, NA, NA, NA
3/23, NA, 6.700, NA, NA, 7.800, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, 5.556, 6.111, 6.111, NA, 6.667, 7.222, 5.556, NA, 7.778, NA, NA, 6.111, NA, NA, NA, NA, NA, NA, 4.300, NA
3/24, NA, 6.700, NA, NA, 7.800, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, 5.556, 6.111, 7.222, NA, 6.667, 7.222, 5.556, NA, 7.778, NA, NA, 6.111, NA, NA, NA, NA, NA, NA, NA, NA
3/25, NA, 6.700, NA, NA, 8.300, NA, NA, 7.200, NA, NA, NA, NA, NA, NA, NA, NA, 5.556, 6.111, 6.111, NA, 6.667, 7.222, 6.111, NA, 7.778, NA, NA, 6.111, NA, NA, NA, NA, NA, NA, NA, NA
3/26, NA, 6.700, NA, NA, 7.800, NA, NA, 7.800, NA, NA, NA, NA, NA, NA, NA, NA, 6.111, 6.667, 6.111, NA, 7.222, 7.222, 6.111, NA, 7.778, NA, NA, 6.111, NA, NA, NA, NA, NA, NA, NA, NA
3/27, NA, 6.700, NA, NA, 8.300, NA, NA, 7.800, NA, NA, NA, NA, NA, NA, NA, NA, 6.111, 6.111, 6.111, NA, 7.222, 7.778, 6.111, NA, 7.778, NA, NA, 6.111, NA, NA, NA, NA, NA, NA, NA, NA
3/28, NA, 6.700, NA, NA, 7.200, NA, NA, 7.800, NA, NA, NA, NA, NA, NA, NA, NA, 6.667, 6.667, 6.111, NA, 7.222, 7.778, 6.111, NA, 7.778, NA, NA, 6.111, NA, NA, NA, NA, NA, 6.600, NA, NA
3/29, NA, 6.700, NA, NA, NA, NA, NA, 8.300, NA, NA, NA, NA, NA, NA, NA, NA, 6.111, 6.667, 6.667, NA, 7.222, 8.333, 6.111, NA, 7.778, NA, NA, 6.667, NA, NA, NA, NA, NA, NA, NA, NA
3/30, NA, 6.700, NA, NA, NA, NA, NA, 8.300, NA, NA, NA, NA, NA, NA, NA, 9.444, 6.111, 7.778, 6.667, NA, 7.222, 8.333, 6.111, NA, 7.778, NA, NA, 6.667, NA, NA, NA, NA, NA, NA, NA, NA
3/31, NA, 6.700, NA, NA, 8.900, NA, NA, 6.700, NA, NA, NA, NA, NA, NA, NA, 9.444, 6.667, 7.778, 6.667, NA, 7.222, 8.333, 6.111, NA, 7.778, NA, NA, 6.667, NA, NA, NA, NA, NA, NA, NA, NA
