dam,day_of_year,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980,1979,1978,1977,1976,1975,1974,1973,1972,1971,1970
TDA,91,,,,,,,,,,,,3.3, NA, NA,,, NA,5.6, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA,5,5,3.889,2.778, NA,5,4.444,3.333, NA,5.556, NA, NA,3.333, NA,,, NA, NA, NA, NA, NA, NA, NA
TDA,92,,,,,,,,,,,,3.3, NA, NA,,, NA,5.6, NA, NA, NA, NA, NA,5, NA, NA, NA, NA, NA, NA,4.444,2.778, NA,5,4.444,3.333, NA,5.556, NA, NA,3.889, NA,,, NA, NA, NA, NA, NA, NA, NA
TDA,93,,,,,,,,,,,,3.9, NA, NA,,, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA,4.444,4.444,3.889,2.778, NA,5,4.444,3.333, NA,5.556, NA, NA,3.889, NA,,, NA, NA, NA, NA, NA, NA, NA
TDA,94,,,,,,,,,,,,3.9, NA, NA,,, NA,6.1, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA,4.444,4.444,3.889,2.778, NA,5,5.556,3.889, NA,6.111, NA, NA,4.444, NA,,, NA, NA, NA, NA, NA, NA, NA
TDA,95,,,,,,,,,,,,3.9, NA, NA,,, NA,6.1, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA,4.444,4.444,5,2.778, NA,5,5.556,3.889, NA,6.111, NA, NA,3.889, NA,,, NA, NA, NA, NA, NA, NA, NA
TDA,96,,,,,,,,,,,,4.4, NA, NA,,, NA,6.7, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA,4.444,4.444,5,2.778, NA,5,5.556,3.889, NA,6.667, NA, NA,4.444, NA,,, NA, NA, NA, NA, NA, NA, NA
TDA,97,,,,,,,,,,,,4.4, NA, NA,,, NA,6.7, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA,4.444,4.444,5,3.333, NA,5,6.111,3.889, NA,6.667, NA, NA,4.444, NA,,, NA, NA, NA, NA, NA, NA, NA
TDA,98,,,,,,,,,,,,4.4, NA, NA,,, NA,6.7, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA,5,3.889, NA,5,6.111,3.889, NA,6.667, NA, NA,5, NA,,, NA, NA, NA, NA, NA, NA, NA
TDA,99,,,,,,,,,,,,4.4, NA, NA,,, NA,6.7, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA,5,3.889, NA,5.556,6.111,4.444, NA,6.667, NA, NA,5, NA,,, NA, NA, NA, NA, NA, NA, NA
TDA,100,,,,,,,,,,,, NA, NA, NA,,, NA,6.7, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA,5,3.889, NA,5,6.111,4.444, NA,6.667, NA, NA,5, NA,,, NA, NA, NA, NA, NA, NA, NA
TDA,101,,,,,,,,,,,, NA, NA, NA,,, NA,6.7, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA,5.556,3.889, NA,5,6.111,4.444, NA,6.667, NA, NA,5.556, NA,,, NA, NA, NA, NA, NA, NA, NA
TDA,102,,,,,,,,,,,, NA,6.1, NA,,, NA,6.7, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA,5.556,3.889, NA,5.556,6.111,4.444, NA,7.222, NA, NA,5.556, NA,,, NA, NA, NA, NA, NA, NA, NA
TDA,103,,,,,,,,,,,, NA,5.6, NA,,, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA,4.444,5.556,4.444, NA,6.111,6.667,5, NA,7.222, NA, NA,5.556, NA,,, NA, NA, NA, NA, NA, NA, NA
TDA,104,,,,,,,,,,,, NA,6.1, NA,,, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA,5,4.444, NA,5.556,6.667,5, NA,7.222, NA, NA,5.556, NA,,, NA, NA, NA, NA, NA, NA, NA
TDA,105,,,,,,,,,,,, NA,6.1, NA,,, NA,7.2, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA,5.556,4.444, NA,6.111,6.667,5, NA,7.222, NA, NA,5.556, NA,,, NA, NA, NA, NA, NA, NA, NA
TDA,106,,,,,,,,,,,, NA,6.7, NA,,, NA,7.2, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA,5.556,4.444, NA,6.111,7.222,5, NA,7.222, NA, NA,5.556, NA,,, NA, NA, NA, NA, NA, NA, NA
TDA,107,,,,,,,,,,,, NA,6.1, NA,,, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA,5.556,6.111,4.444, NA,6.667,7.222,5, NA,7.222, NA, NA,5.556, NA,,, NA, NA, NA, NA, NA, NA, NA
